,question,answer
0,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 교수님께서 이 학과(전공)를 선택하시게 된 동기는 무엇이었습니까?
                A:",저는 학부 때 영어학을 전공했는데 언어를 보다 체계적으로 공부하는 것이 좋겠다는 생각이 들어 언어학을 부전공으로 이수했습니다. 그리고 대학원을 진학을 해서 그때부터 본격적으로 언어학을 공부했습니다.
1,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 어떤 분야에 관심을 갖고 있는 사람들이 이 학과에 입학을 하면 좋은가요?
                A:","언어학의 영역은 꽤 넓습니다. 따라서 언어의 어떤 측면이든지 좀 더 깊게 공부하고 싶은 마음이 있으면 언어학을 택할 수 있습니다. 언어학에는 여러 분야가 있는데, 한 예로 언어의 구조 분야에서는 낱말이 어떤 모양을 갖추고 낱말들이 어떻게 서로 합쳐져서 구와 문장이 되는지, 그리고 의미가 조그마한 조각의 의미에서 어떻게 큰 조각들을 만들어 내는지 배웁니다. 이러한 데에 관심이 있다면 언어학을 공부하는 것이 좋습니다. 또 특정 언어에 관심이 있어도 특정 언어의 구조에만 집중하고 싶다면 언어학과를 선택하는 것이 좋겠습니다. 왜냐하면 일반적으로 ‘O어O문학과’, 이런 데에서는 상대적으로 시, 소설, 희곡 등의 문학 공부를 많이 하게 되기 때문입니다.  그런 것을 부담스럽게 생각하는 사람이라면 대신 언어학과를 택하는 것이 합리적일 수 있습니다."
2,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 이 학과에서 입학하면 가장 중요한 공부는 어떤 내용인가요?
                A:","일단 거의 모든 언어학과에서 필수적으로 제공하거나 필수화해 놓은 과목들이 있는데 음운론, 통사론, 의미론 등의 과목이 그 예입니다. 이와 같은 필수 과목을 바탕으로 응용？심화시키므로 앞서 언급한 음운론, 통사론, 의미론 등은 반드시 공부를 해야 합니다. 그리고 언어학의 탐구 능력에 바탕을 만들어 주는 것으로 논리학을 권하고 싶습니다."
3,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 이 학과에서 공부를 잘하려면 중고등학교 때 특히 어떤 교과목을 공부하면 좋을까요?
                A:","어문학 계통으로 진학할 학생들에게는 공통적으로 해당되겠지만, 언어 관련 과목에 강점을 보이면 좋습니다. 그 다음에 외국어도 중요하다고 봅니다. 한편, 어문학 계열 또는 인문계열의 다른 학과와 달리 수학도 좋아하는 사람이면 더욱 바람직합니다. 언어의 구조를 배우기 위해선 논리적인 역량이 필요하기 때문입니다."
4,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 이 학과의 장점을 말씀해 주세요.
                A:","특정한 언어 하나만을 들여다 보는 것이 아니라 모든 인간 언어 및 인공 언어라고 불리는 컴퓨터 프로그래밍에도 영향을 미칩니다. 또한, 나아가 시간과 공간을 초월해서 성립하는 진리에 대해서도 배우기 때문에 지적으로 상당히 도전적인 학문 분야입니다."
5,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 학과에서 공부를 하는 학생들이 겪는 어려움은 어떤 점이 있나요?
                A:",실제로 학과 공부에 유용성을 느낄 정도가 되려면 공부량이 많아야 합니다.  즉 자기의 전공으로 세상에 어떠한 기여를 하려고 한다면 그 수준이 매우 높아야 한다는 데에서 다소 좌절감을 느끼는 사람이 있을 수 있습니다. 공부를 웬만큼 하지 않으면 이 공부를 왜 하나 생각할 수 있기 때문입니다. 그렇지만 공부를 열심히 한 사람들은 보람을 굉장히 많이 느끼는 것으로 알고 있습니다.
6,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 학과 졸업생들이 가장 많이 진출하는 직업분야는 어느 곳인가요?
                A:","동료들한테 듣거나, 우리 졸업생들을 직접 보게 되면 가장 먼저 느끼는 것이 진출 분야가 굉장히 넓다는 것입니다. 우리 과 졸업생들은 언어라는 문제 영역에 대해서 늘 탐구를 하고, 문제 해결 능력을 갖고 있으며, 무엇보다 언어학을 전공하지 않은 사람들보다는 뛰어난 언어의사 소통 능력이 있다고 자부합니다. 의사 소통 능력이 탁월하다 보니 어떤 단체 활동에서도 뛰어난 역량을 보입니다. 이처럼 의사 소통 능력이 중요시 되는 분야라면 어디든지 일꾼으로 일을 할 수 있다고 생각합니다. 굳이 직업분야로 표현을 한다면 일반 관리직이 제일 많다고 볼 수 있겠습니다. 예를 들면 어떤 회사의 인사 관리를 한다든지, 회사에서 교육부분의 일을 한다든지, 홍보 파트에서 사보를 만들어 낸다든지 등이 그 예가 될 수 있습니다. 그 다음으로, 아무래도 언어학과이다 보니 방송 및 언론과 관련한 쪽으로도 많이 진출합니다."
7,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 언어학과를 전공하게 되면 말하는 능력이 향상되는 건가요?
                A:","특별히 말하는 능력이 크게 향상된다고 보지는 않습니다만, 의사 소통에서 어떤 의도를 빠른 시간에 전달받는 능력이 늘어난다고 확신합니다. 물론 말하는 능력도 남들보다 떨어지지는 않을 것이라고 믿습니다. 낱말 구사력이라든지 문장의 구조에 대한 이해 이런 것이 특히 강하리라고 생각합니다. 그렇다고 해서 언어학 전공을 하지 않은 일반 사람들이 자기 모국어로 의사 소통을 못 한다는 것은 아닙니다. 언어학자들은 모든 태생적 언어 사용자가 유창하고 흠이 없는 언어 능력을 갖고 있다고 믿습니다."
8,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 학과의 앞으로의 전망은 어떠하다고 보십니까?
                A:","딱 잘라 말하기는 힘드나 대체로 밝다고 봅니다. 아무래도 문？사？철로 대표되는 인문학으로 분류되다 보니 외부에서, 예를 들면 공학 전공자의 시각에서 볼 때는 상대적으로 한가해 보이고 자신들과는 무관한 분야라는 시각이 있어 피해를 보는 측면이 있습니다. 반면에, 논리와 수학, 컴퓨터 과학 등과 맞물려 이를 이해하고 구사하는 로봇의 구축, 언어를 이해하고 구사할 수 있는, 말하자면 비인간 기계인 로봇을 만들어 내는 일에서 그 유용성이 헤아릴 수 없을 정도입니다. 인간이 하고 있는 일을 로봇이 대체하고 있는데 아직도 언어를 구사해야 하는, 다시 말해 말을 알아듣고 또 말로 반응을 해야 하는 부분에서 아무래도 현재로선 대체가 늦어지고 있습니다. 그런데 바로 그러한 능력을 심어줄 수 있는 지식을 제공하는 가장 중요한 원천이 언어학입니다. 따라서 그쪽 분야에 관해서 이야기한다면 상당히 큰 공헌 내지 영향을 인류 사회에 미치지 않을 수 없을 것입니다."
9,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 반드시 필요하겠군요?
                A:",저는 그렇다고 생각합니다. 많은 인문학의 분야가 그렇듯 앞으로 미래 세계에 큰 변화를 초래할 수 있을 것으로 기대합니다. 사람들은 앞으로 귀찮은 일은 할 필요가 없어지고 더욱 심오한 일 또는 더욱 재미있는 일만 하고 싶어할 것입니다. 즉 평범하고 쉬운 일은 전부 기계한테 맡겨 버리게 될 텐데 그런 세계를 미래 세계로 생각한다면 언어학의 역할이 다른 어떤 학문보다도 더 큰 것 같습니다.
10,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 반드시 필요한 학문인 것 같네요. 그래서 지금은 없지만 앞으로 새로 생기게 될 직업은 어떤 것들이 있을까요? 혹은 최근에 새롭게 생겨난 직업들이 있습니까?
                A:",최근이라는 범위를 어디로 잡느냐의 문제인데 한국에서 약 10년을 잡는다면 뚜렷하게 보이는 언어정보처리 시스템 개발 쪽을 들 수가 있겠고 그 다음에 또 하나 더 든다면 언어장애 극복훈련 전문가가 있겠습니다. 언어장애를 가진 사람들이 있거든요. 그런 사람들에게 어떻게 좀 더 나은 언어 구사 능력을 심어줄 것이냐? 이와 관련한 좋은 훈련을 제공해서 말을 잘 할 수 있게 해 주는 직종이 최근에 많이 생기고 있습니다.
11,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 지금 말씀하신 것이 언어치료사를 말씀하시는 건가요?
                A:",예. 언어장애전문가라고도 합니다..
12,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 이 학과를 전공하려는 학생이 진학 전에 미리 준비해야 할 내용이 있다면 무엇입니까?
                A:",특별히 미리 준비해야 할 것은 없고 고등학교까지 언어 관련 과목들을 착실히 공부하기만 하면 충분합니다. 대학에 온 다음에 또 열심히 공부하면 됩니다.
13,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 이 학과를 지망하는 중고등학생들에게 마지막으로 한마디 해 주세요.
                A:","특정 어문학에 대한 관심 없이 해당 어문학을 전공 하려고 한다면, 예를 들어 영어, 중국어, 아랍어 등 중에서의 선택의 문제에 부딪치게 됩니다. 그러나 선택시의 학과 정보가 때로는 왜곡되어 있을 수 있어 결국 자신의 삶을 개척하는 데에 큰 도움이 안 되는 전공을 택하게 될 위험이 있습니다. 그리고 특정 언어 하나만 공부를 하면 자신의 삶을 개척하는데 있어서 선택의 폭이 좁아질 우려가 있습니다. 하지만 언어학은 모든 인간 언어의 공통적인 데에 관심을 갖습니다. 물론 언어학과에서 특정 개별 언어를 깊이 가르치지는 못합니다. 그러나 그 부분은 학생개개인이 별도의 노력을 더 기울여서 결과적으로 굉장히 바람직한 특정 언어 전문가가 될 수 있습니다. 그러니까 한국어도 특정언어지만, 외국어 중 하나인 아랍어를 전공하겠다 한다면, 언어학과에서 일반 언어학을 공부하면서 혼자서는 아랍어를 독학으로 또는 어느 방송 강의를 통해서 또는 학원에 다니면서 배울 수 있는 것이지요. 일반 언어학을 언어학과에서 공부하면서 특정 언어를 자기 스스로 깊이 파고드는 식으로 나아간다면 이상적인 언어전문가가 될 수 있다고 생각합니다."
